source_build,target_build,opcode,direction,seen,n,ok_exact,under_read,over_read,threw,consumed_p50,consumed_p90,home_n,home_over_read,home_p50,over_sigs,home_over_sigs,ks_vs_home,script_sha,env_sha,quality,state,reason,invariants,rule_version,sampling
2531,12,0x002B,IN,2718,1500,0,661,839,0,100,100,-,-,-,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:797|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [BoundToCharId:Int64]:31|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:7|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Remaining Repackage Count:Int32]:1,-,-,3c9bd7749e3a,6fcac0922e9d,USEFUL,reject,over_read=839; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2502,12,0x0037,OUT,101,101,15,86,0,0,20,100,168,0,33,-,-,0.305,870c540d7a34,e531069fb1f2,STUB,insufficient,n=101 < floor 300,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2506,12,0x003C,IN,1,1,0,0,1,0,97,97,104,0,70,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [x:Single]:1,-,1.000,9fedcc7a8d51,e531069fb1f2,USEFUL,reject,over_read=1; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x003C,IN,1,1,0,0,1,0,100,100,117,0,100,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [x:Single]:1,-,0.000,b0f82de3a675,e531069fb1f2,USEFUL,reject,over_read=1; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2512,12,0x003C,IN,1,1,0,0,1,0,100,100,1500,0,100,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:1,-,0.000,3d8a1c2c7f1d,6cdba8ccbaff,USEFUL,reject,over_read=1; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2520,12,0x003C,IN,1,1,0,0,1,0,100,100,3,0,100,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [x:Single]:1,-,0.000,efc20881e461,e531069fb1f2,USEFUL,reject,over_read=1; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2512,12,0x003D,IN,82632,1500,0,1464,36,0,2,28,1500,21,100,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Damage:Int64]:28|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:7|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Damage:Byte]:1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:21,0.953,c9190e0584ce,6cdba8ccbaff,STUB,reject,over_read=36; NEW failure mode vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2520,12,0x003D,IN,82632,1500,0,1472,28,0,2,2,380,0,4,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [x:Int16]:28,-,0.980,6d2842810633,e531069fb1f2,STUB,reject,over_read=28; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2504,12,0x0048,IN,99879,1500,0,1018,482,0,8,98,43,0,100,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [z:Single]:482,-,0.679,905e79e74b5a,e531069fb1f2,STUB,reject,over_read=482; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x0048,IN,99879,1500,0,1018,482,0,8,98,460,0,100,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [z:Single]:482,-,0.974,0aae7fa0044e,e531069fb1f2,STUB,reject,over_read=482; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2529,12,0x0049,IN,7434,1500,10,1490,0,0,6,6,6,0,1,-,-,1.000,9c3e9314f489,e531069fb1f2,STUB,reject,consumed KS=1.000 > 0.2 vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
