source_build,target_build,opcode,direction,quality,edge_n,n_fields_compared,n_flagged,worst_check,worst_severity,verdict
2486,2512,0x0006,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2486,2512,0x0006,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2512,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2512,0x0011,IN,USEFUL,1500,6,2,dist_diverge,high,suspect
12,2512,0x001D,OUT,USEFUL,1110,2,0,-,-,insufficient-fields
12,2512,0x0020,OUT,USEFUL,1500,33,8,dist_diverge,high,suspect
2507,2512,0x0020,OUT,PARTIAL,1500,1,0,-,-,insufficient-fields
2546,2512,0x0021,IN,STUB,1500,1,0,-,-,insufficient-fields
12,2512,0x0021,OUT,USEFUL,589,8,2,dist_diverge,high,suspect
12,2512,0x0022,OUT,USEFUL,1167,3,1,dist_diverge,high,suspect
2502,2512,0x0023,IN,STUB,1500,6,3,dist_diverge,high,suspect
12,2512,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2512,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2512,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
12,2512,0x0026,OUT,USEFUL,1500,10,3,dist_diverge,high,suspect
12,2512,0x002C,IN,USEFUL,1500,1,0,-,-,insufficient-fields
12,2512,0x002D,IN,PARTIAL,1500,2,0,-,-,insufficient-fields
12,2512,0x0034,OUT,USEFUL,528,1,0,-,-,insufficient-fields
2506,2512,0x003C,IN,PARTIAL,1500,0,0,-,-,insufficient-fields
2507,2512,0x003C,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2520,2512,0x003C,IN,USEFUL,1500,0,0,-,-,insufficient-fields
2507,2512,0x0048,IN,USEFUL,996,25,5,dist_diverge,high,suspect
2507,2512,0x004B,IN,STUB,1081,0,0,-,-,insufficient-fields
2521,2512,0x0055,IN,USEFUL,1500,18,8,count_neg,high,suspect
2521,2512,0x0058,IN,USEFUL,1500,14,0,-,-,pass
2506,2512,0x005E,IN,USEFUL,1500,11,1,dist_diverge,medium,suspect
2507,2512,0x0063,IN,USEFUL,993,0,0,-,-,insufficient-fields
2546,2512,0x0069,IN,STUB,410,1,0,-,-,insufficient-fields
2486,2512,0x006A,IN,USEFUL,477,13,2,dist_diverge,high,suspect
2502,2512,0x006A,IN,STUB,477,12,1,dist_diverge,high,suspect
2503,2512,0x006A,IN,STUB,477,12,1,dist_diverge,high,suspect
2529,2512,0x0075,IN,USEFUL,1500,13,6,dist_diverge,high,suspect
2520,2512,0x00F6,IN,USEFUL,385,0,0,-,-,insufficient-fields
12,2513,0x000B,OUT,USEFUL,469,1,0,-,-,insufficient-fields
12,2513,0x0011,IN,USEFUL,941,6,1,dist_diverge,high,suspect
2502,2513,0x0023,IN,STUB,593,6,0,-,-,pass
12,2513,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2513,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2513,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
12,2516,0x000B,OUT,USEFUL,535,1,0,-,-,insufficient-fields
12,2516,0x0011,IN,USEFUL,1073,6,1,dist_diverge,high,suspect
2502,2516,0x0023,IN,STUB,815,6,0,-,-,pass
12,2516,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2516,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2516,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
2528,2516,0x002E,IN,USEFUL,648,3,2,dist_diverge,high,suspect
2521,2516,0x0055,IN,USEFUL,385,18,7,dist_diverge,high,suspect
2521,2516,0x0058,IN,USEFUL,1500,14,0,-,-,pass
2527,2516,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
2506,2516,0x005E,IN,USEFUL,374,11,0,-,-,pass
12,2517,0x0024,IN,USEFUL,1413,5,1,dist_diverge,high,suspect
2502,2517,0x0024,IN,USEFUL,1413,5,0,-,-,pass
2507,2517,0x0024,IN,USEFUL,1413,5,1,dist_diverge,high,suspect
2502,2518,0x0023,IN,STUB,605,6,0,-,-,pass
12,2518,0x0024,IN,USEFUL,376,5,1,dist_diverge,high,suspect
2502,2518,0x0024,IN,USEFUL,376,5,1,dist_diverge,high,suspect
2507,2518,0x0024,IN,USEFUL,376,5,1,dist_diverge,high,suspect
2521,2518,0x0058,IN,USEFUL,1500,14,1,dist_diverge,high,suspect
2527,2518,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
12,2520,0x000B,OUT,USEFUL,410,1,0,-,-,insufficient-fields
12,2520,0x0011,IN,USEFUL,826,6,1,dist_diverge,high,suspect
2502,2520,0x0023,IN,STUB,347,6,0,-,-,pass
12,2520,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2520,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2520,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
2528,2520,0x002E,IN,USEFUL,403,3,2,dist_diverge,high,suspect
2521,2520,0x0058,IN,USEFUL,1500,14,6,dist_diverge,high,suspect
2527,2520,0x0058,IN,USEFUL,1500,15,10,dist_diverge,high,suspect
12,2521,0x000B,OUT,USEFUL,883,1,0,-,-,insufficient-fields
12,2521,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
2546,2521,0x0021,IN,STUB,617,1,0,-,-,insufficient-fields
2502,2521,0x0023,IN,STUB,1500,6,0,-,-,pass
12,2521,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2521,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2521,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2527,2521,0x0058,IN,USEFUL,1500,15,6,dist_diverge,high,suspect
2506,2521,0x005E,IN,USEFUL,604,11,0,-,-,pass
12,2522,0x000B,OUT,USEFUL,500,1,0,-,-,insufficient-fields
12,2522,0x0011,IN,USEFUL,1003,6,1,dist_diverge,high,suspect
2502,2522,0x0023,IN,STUB,366,6,0,-,-,pass
12,2522,0x0024,IN,USEFUL,552,5,1,dist_diverge,high,suspect
2502,2522,0x0024,IN,USEFUL,552,5,1,dist_diverge,high,suspect
2507,2522,0x0024,IN,USEFUL,552,5,1,dist_diverge,high,suspect
2527,2522,0x0058,IN,USEFUL,1500,15,6,dist_diverge,high,suspect
12,2524,0x000B,OUT,USEFUL,314,1,0,-,-,insufficient-fields
12,2524,0x0011,IN,USEFUL,633,6,1,dist_diverge,high,suspect
2549,2524,0x0021,IN,STUB,720,1,0,-,-,insufficient-fields
2550,2524,0x0021,IN,STUB,720,1,0,-,-,insufficient-fields
2502,2524,0x0023,IN,STUB,1371,6,0,-,-,pass
12,2524,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2524,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2524,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2521,2524,0x0058,IN,USEFUL,1500,14,7,dist_diverge,high,suspect
2527,2524,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
2502,2525,0x0023,IN,STUB,533,6,0,-,-,pass
12,2525,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2525,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2525,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
2527,2525,0x0058,IN,USEFUL,1500,15,9,count_neg,high,suspect
12,2527,0x0024,IN,USEFUL,1413,5,1,dist_diverge,high,suspect
2502,2527,0x0024,IN,USEFUL,1413,5,0,-,-,pass
2507,2527,0x0024,IN,USEFUL,1413,5,1,dist_diverge,high,suspect
2521,2527,0x0058,IN,USEFUL,449,14,6,dist_diverge,high,suspect
12,2528,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2528,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2528,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
12,2529,0x0006,IN,USEFUL,390,1,0,-,-,insufficient-fields
2486,2529,0x0006,IN,USEFUL,390,1,0,-,-,insufficient-fields
2486,2529,0x0006,OUT,USEFUL,389,1,0,-,-,insufficient-fields
12,2529,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2529,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
2507,2529,0x0020,OUT,PARTIAL,373,1,0,-,-,insufficient-fields
12,2529,0x0022,OUT,USEFUL,326,2,0,-,-,insufficient-fields
2502,2529,0x0023,IN,STUB,439,6,0,-,-,pass
12,2529,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2529,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2529,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2528,2529,0x002E,IN,USEFUL,1500,3,2,dist_diverge,high,suspect
2506,2529,0x003C,IN,PARTIAL,1083,0,0,-,-,insufficient-fields
2507,2529,0x003C,IN,USEFUL,1083,1,0,-,-,insufficient-fields
2512,2529,0x003C,IN,USEFUL,1083,17,6,dist_diverge,high,suspect
2520,2529,0x003C,IN,USEFUL,1083,0,0,-,-,insufficient-fields
2521,2529,0x0058,IN,USEFUL,1500,14,1,dist_diverge,medium,suspect
2527,2529,0x0058,IN,USEFUL,1500,15,7,dist_diverge,high,suspect
2506,2529,0x005E,IN,USEFUL,343,11,0,-,-,pass
12,2530,0x0024,IN,USEFUL,825,5,1,dist_diverge,high,suspect
2502,2530,0x0024,IN,USEFUL,825,5,1,dist_diverge,high,suspect
2507,2530,0x0024,IN,USEFUL,825,5,1,dist_diverge,high,suspect
12,2531,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2531,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2531,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2527,2531,0x0058,IN,USEFUL,300,15,7,dist_diverge,high,suspect
12,2532,0x000B,OUT,USEFUL,359,1,0,-,-,insufficient-fields
12,2532,0x0011,IN,USEFUL,719,6,1,dist_diverge,high,suspect
2502,2532,0x0023,IN,STUB,394,6,0,-,-,pass
12,2532,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2532,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
2507,2532,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2528,2532,0x002E,IN,USEFUL,355,3,2,dist_diverge,medium,suspect
12,2533,0x000B,OUT,USEFUL,1037,1,0,-,-,insufficient-fields
12,2533,0x0011,IN,STUB,1500,6,1,dist_diverge,high,suspect
12,2533,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2533,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2533,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2527,2533,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
2506,2533,0x005E,IN,USEFUL,324,11,2,dist_diverge,high,suspect
12,2546,0x0005,IN,USEFUL,664,5,0,-,-,pass
12,2546,0x0006,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2486,2546,0x0006,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2486,2546,0x0006,OUT,USEFUL,1250,1,0,-,-,insufficient-fields
12,2546,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2546,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
12,2546,0x0014,IN,USEFUL,680,1,0,-,-,insufficient-fields
12,2546,0x0016,IN,USEFUL,314,10,0,-,-,pass
2549,2546,0x0016,IN,USEFUL,314,0,0,-,-,insufficient-fields
2550,2546,0x0016,IN,USEFUL,314,0,0,-,-,insufficient-fields
2500,2546,0x0017,IN,STUB,588,0,0,-,-,insufficient-fields
12,2546,0x0019,IN,USEFUL,475,4,2,dist_diverge,high,suspect
2500,2546,0x0019,IN,USEFUL,475,2,1,dist_diverge,high,insufficient-fields
12,2546,0x001D,IN,USEFUL,447,11,5,dist_diverge,high,suspect
2507,2546,0x0020,OUT,PARTIAL,1500,1,0,-,-,insufficient-fields
12,2546,0x0022,OUT,USEFUL,313,2,0,-,-,insufficient-fields
2502,2546,0x0023,IN,STUB,1500,6,0,-,-,pass
12,2546,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2546,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2546,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
12,2546,0x002C,IN,USEFUL,1500,1,0,-,-,insufficient-fields
12,2546,0x002D,IN,PARTIAL,1500,2,0,-,-,insufficient-fields
12,2546,0x0034,OUT,USEFUL,324,1,1,dist_diverge,medium,insufficient-fields
2506,2546,0x003C,IN,PARTIAL,1500,0,0,-,-,insufficient-fields
2507,2546,0x003C,IN,USEFUL,1500,1,0,-,-,insufficient-fields
2512,2546,0x003C,IN,USEFUL,1500,17,3,dist_diverge,high,suspect
2520,2546,0x003C,IN,USEFUL,1500,0,0,-,-,insufficient-fields
2507,2546,0x0048,IN,USEFUL,1500,25,3,dist_diverge,high,suspect
2507,2546,0x004B,IN,STUB,1500,0,0,-,-,insufficient-fields
2512,2546,0x004C,IN,USEFUL,1500,12,6,dist_diverge,high,suspect
2521,2546,0x0055,IN,USEFUL,1500,18,7,count_neg,high,suspect
2521,2546,0x0058,IN,USEFUL,1500,14,0,-,-,pass
2506,2546,0x005E,IN,USEFUL,1500,11,0,-,-,pass
2486,2546,0x006A,IN,USEFUL,1018,31,6,dist_diverge,high,suspect
2502,2546,0x006A,IN,STUB,1018,12,8,dist_diverge,high,suspect
2503,2546,0x006A,IN,STUB,1018,12,8,dist_diverge,high,suspect
2507,2546,0x006B,IN,USEFUL,778,0,0,-,-,insufficient-fields
2511,2546,0x006B,IN,STUB,778,0,0,-,-,insufficient-fields
2524,2546,0x006B,IN,USEFUL,778,0,0,-,-,insufficient-fields
2549,2546,0x006B,IN,STUB,778,0,0,-,-,insufficient-fields
2550,2546,0x006B,IN,USEFUL,778,0,0,-,-,insufficient-fields
2531,2546,0x0073,IN,USEFUL,417,0,0,-,-,insufficient-fields
2529,2546,0x0075,IN,USEFUL,1500,13,5,dist_diverge,high,suspect
12,2549,0x000B,OUT,USEFUL,1164,1,0,-,-,insufficient-fields
12,2549,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
2550,2549,0x0021,IN,STUB,1500,1,0,-,-,insufficient-fields
2502,2549,0x0023,IN,STUB,1500,6,0,-,-,pass
12,2549,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2549,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2549,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2521,2549,0x0058,IN,USEFUL,1296,14,5,dist_diverge,high,suspect
2527,2549,0x0058,IN,USEFUL,1296,15,7,count_neg,high,suspect
2506,2549,0x005E,IN,USEFUL,312,11,1,dist_diverge,medium,suspect
2503,2549,0x0069,IN,STUB,1500,14,3,dist_diverge,high,suspect
12,2550,0x000B,OUT,USEFUL,362,1,0,-,-,insufficient-fields
12,2550,0x0011,IN,USEFUL,727,6,1,dist_diverge,high,suspect
2507,2550,0x0020,OUT,PARTIAL,312,1,0,-,-,insufficient-fields
2549,2550,0x0021,IN,STUB,396,1,0,-,-,insufficient-fields
2502,2550,0x0023,IN,STUB,1374,6,0,-,-,pass
