source_build,target_build,opcode,direction,field_key,check,edge_value,home_value,severity
2502,2532,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.513,home_other=0.09,medium
2507,2532,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.644,home_other=0.09,high
2528,2532,0x002E,IN,Stat #/StatMax:Int32,dist_diverge,tvd=0.544,home_other=0.00,medium
2528,2532,0x002E,IN,Stat #/StatTotal:Int32,dist_diverge,tvd=0.544,home_other=0.00,medium
12,2533,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2533,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.996,home_other=0.12,high
2502,2533,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.731,home_other=0.09,high
2507,2533,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.674,home_other=0.09,high
2527,2533,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2533,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.953,home_other=0.20,high
2527,2533,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.966,home_other=0.18,high
2527,2533,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2533,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.666,home_other=0.00,high
2506,2533,0x005E,IN,/timestamp:Int64,dist_diverge,tvd=0.865,home_other=0.97,high
2506,2533,0x005E,IN,/trophy id:Int32,dist_diverge,tvd=0.535,home_other=0.86,medium
12,2546,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2546,0x0019,IN,/count:Int32,dist_diverge,tvd=0.976,home_other=0.00,high
12,2546,0x0019,IN,DungeonRoom #/Unknown:Byte,dist_diverge,tvd=0.521,home_other=0.00,medium
2500,2546,0x0019,IN,/zero:Byte,dist_diverge,tvd=0.736,home_other=0.00,high
12,2546,0x001D,IN,/AccountId:Int64,dist_diverge,tvd=1.000,home_other=0.00,high
12,2546,0x001D,IN,/Channel:Int32,dist_diverge,tvd=0.685,home_other=0.00,high
12,2546,0x001D,IN,/CharacterId:Int64,dist_diverge,tvd=0.975,home_other=0.02,high
12,2546,0x001D,IN,/Type:Int32,dist_diverge,tvd=0.673,home_other=0.00,high
12,2546,0x001D,IN,Name/size:Int16,dist_diverge,tvd=0.541,home_other=0.00,medium
12,2546,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.985,home_other=0.12,high
2502,2546,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.719,home_other=0.09,high
2507,2546,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.672,home_other=0.09,high
